Nodes,Total,A_p,C,R
1,1.805969,1.779682,0.022686,0.003571
2,0.748750,0.716011,0.029837,0.002872
4,0.416255,0.393616,0.020767,0.001833
8,0.220558,0.199972,0.018647,0.001897
