Nodes,Total,A_p,C,R
1,28.572000,28.360510,0.176960,0.034476
2,11.459300,11.254160,0.186179,0.018929
4,5.829098,5.695849,0.121966,0.011244
8,3.109113,3.012988,0.086322,0.009773
